playerId,season,name,team,position,situation,games_played,icetime,I_F_goals,I_F_points,I_F_primaryAssists,I_F_secondaryAssists
8477429,2024,Andrew Copp,DET,C,5on5,56,43606.0,6.0,18.0,9.0,3.0
8477429,2024,Andrew Copp,DET,C,4on5,56,3362.0,1.0,1.0,0.0,0.0
8477429,2024,Andrew Copp,DET,C,5on4,56,1516.0,0.0,1.0,1.0,0.0
8477426,2024,Nick Paul,TBL,L,other,55,2072.0,4.0,5.0,1.0,0.0
8477426,2024,Nick Paul,TBL,L,all,55,54262.0,18.0,33.0,10.0,5.0
8477426,2024,Nick Paul,TBL,L,5on5,55,46288.0,12.0,22.0,7.0,3.0
8477426,2024,Nick Paul,TBL,L,4on5,55,2308.0,0.0,1.0,1.0,0.0
8477426,2024,Nick Paul,TBL,L,5on4,55,3594.0,2.0,5.0,1.0,2.0
8480355,2024,Mark Kastelic,BOS,C,other,54,427.0,0.0,1.0,0.0,1.0
8480355,2024,Mark Kastelic,BOS,C,all,54,35114.0,4.0,13.0,6.0,3.0
8480355,2024,Mark Kastelic,BOS,C,5on5,54,33671.0,4.0,12.0,6.0,2.0
8480355,2024,Mark Kastelic,BOS,C,4on5,54,690.0,0.0,0.0,0.0,0.0
8480355,2024,Mark Kastelic,BOS,C,5on4,54,326.0,0.0,0.0,0.0,0.0
8477940,2024,Nikolaj Ehlers,WPG,L,other,53,2576.0,4.0,12.0,7.0,1.0
8477940,2024,Nikolaj Ehlers,WPG,L,all,53,50664.0,19.0,52.0,25.0,8.0
8477940,2024,Nikolaj Ehlers,WPG,L,5on5,53,40401.0,11.0,23.0,8.0,4.0
8477940,2024,Nikolaj Ehlers,WPG,L,4on5,53,85.0,0.0,0.0,0.0,0.0
8477940,2024,Nikolaj Ehlers,WPG,L,5on4,53,7602.0,4.0,17.0,10.0,3.0
8477942,2024,Kevin Fiala,LAK,L,other,59,2748.0,1.0,2.0,0.0,1.0
8477942,2024,Kevin Fiala,LAK,L,all,59,66466.0,24.0,40.0,8.0,8.0
8477942,2024,Kevin Fiala,LAK,L,5on5,59,53820.0,15.0,23.0,6.0,2.0
8477942,2024,Kevin Fiala,LAK,L,4on5,59,48.0,0.0,0.0,0.0,0.0
8477942,2024,Kevin Fiala,LAK,L,5on4,59,9850.0,8.0,15.0,2.0,5.0
8480813,2024,Joe Veleno,DET,C,other,56,734.0,0.0,1.0,0.0,1.0
8480813,2024,Joe Veleno,DET,C,all,56,40155.0,5.0,10.0,2.0,3.0
8480813,2024,Joe Veleno,DET,C,5on5,56,37522.0,5.0,9.0,2.0,2.0
8480813,2024,Joe Veleno,DET,C,4on5,56,1743.0,0.0,0.0,0.0,0.0
8480813,2024,Joe Veleno,DET,C,5on4,56,156.0,0.0,0.0,0.0,0.0
8474141,2024,Patrick Kane,DET,R,other,51,2769.0,2.0,3.0,0.0,1.0
8474141,2024,Patrick Kane,DET,R,all,51,54091.0,15.0,38.0,11.0,12.0
8474141,2024,Patrick Kane,DET,R,5on5,51,42836.0,6.0,16.0,5.0,5.0
8474141,2024,Patrick Kane,DET,R,4on5,51,35.0,0.0,0.0,0.0,0.0
8474141,2024,Patrick Kane,DET,R,5on4,51,8451.0,7.0,18.0,6.0,5.0
8475842,2024,Sam Carrick,NYR,C,other,62,460.0,1.0,2.0,1.0,0.0
8475842,2024,Sam Carrick,NYR,C,all,62,42557.0,6.0,18.0,8.0,4.0
8475842,2024,Sam Carrick,NYR,C,5on5,62,37822.0,4.0,13.0,5.0,4.0
8475842,2024,Sam Carrick,NYR,C,4on5,62,4171.0,1.0,3.0,2.0,0.0
8475842,2024,Sam Carrick,NYR,C,5on4,62,104.0,0.0,0.0,0.0,0.0
8477946,2024,Dylan Larkin,DET,C,other,61,4398.0,5.0,9.0,4.0,0.0
8477946,2024,Dylan Larkin,DET,C,all,61,73009.0,24.0,53.0,20.0,9.0
8477946,2024,Dylan Larkin,DET,C,5on5,61,53728.0,6.0,23.0,12.0,5.0
8477946,2024,Dylan Larkin,DET,C,4on5,61,3849.0,0.0,0.0,0.0,0.0
8477946,2024,Dylan Larkin,DET,C,5on4,61,11034.0,13.0,20.0,3.0,4.0
8480817,2024,K'Andre Miller,NYR,D,other,56,2577.0,0.0,1.0,0.0,1.0
8480817,2024,K'Andre Miller,NYR,D,all,56,73389.0,5.0,16.0,8.0,3.0
8480817,2024,K'Andre Miller,NYR,D,5on5,56,61548.0,5.0,13.0,7.0,1.0
8480817,2024,K'Andre Miller,NYR,D,4on5,56,6799.0,0.0,0.0,0.0,0.0
8480817,2024,K'Andre Miller,NYR,D,5on4,56,2465.0,0.0,2.0,1.0,1.0
8477949,2024,Alex Tuch,BUF,R,other,60,5355.0,4.0,5.0,0.0,1.0
8477949,2024,Alex Tuch,BUF,R,all,60,69715.0,23.0,47.0,9.0,15.0
8477949,2024,Alex Tuch,BUF,R,5on5,60,49155.0,15.0,31.0,6.0,10.0
8477949,2024,Alex Tuch,BUF,R,4on5,60,7558.0,3.0,4.0,1.0,0.0
8477949,2024,Alex Tuch,BUF,R,5on4,60,7647.0,1.0,6.0,2.0,3.0
8475848,2024,Brendan Gallagher,MTL,R,other,61,1215.0,1.0,1.0,0.0,0.0
8475848,2024,Brendan Gallagher,MTL,R,all,61,50232.0,15.0,25.0,5.0,5.0
8475848,2024,Brendan Gallagher,MTL,R,5on5,61,43141.0,9.0,18.0,5.0,4.0
8475848,2024,Brendan Gallagher,MTL,R,4on5,61,13.0,0.0,0.0,0.0,0.0
8475848,2024,Brendan Gallagher,MTL,R,5on4,61,5863.0,5.0,6.0,0.0,1.0
8476891,2024,Matt Grzelcyk,PIT,D,other,64,1625.0,0.0,1.0,1.0,0.0
8476891,2024,Matt Grzelcyk,PIT,D,all,64,77389.0,1.0,30.0,17.0,12.0
8476891,2024,Matt Grzelcyk,PIT,D,5on5,64,66081.0,1.0,19.0,10.0,8.0
8476891,2024,Matt Grzelcyk,PIT,D,4on5,64,1859.0,0.0,0.0,0.0,0.0
8476891,2024,Matt Grzelcyk,PIT,D,5on4,64,7824.0,0.0,10.0,6.0,4.0
8483524,2024,Shane Wright,SEA,C,other,59,1590.0,0.0,0.0,0.0,0.0
8483524,2024,Shane Wright,SEA,C,all,59,48217.0,14.0,37.0,13.0,10.0
8483524,2024,Shane Wright,SEA,C,5on5,59,40601.0,7.0,25.0,11.0,7.0
